alg,iteration,energy
RMSPROP,18,-188.0717202493566
RMSPROP,19,-188.0723231654843
RMSPROP,20,-188.0725928496754
RMSPROP,21,-188.0728447165718
RMSPROP,22,-188.07336389904805
RMSPROP,23,-188.07402619992052
RMSPROP,24,-188.07411242136146
RMSPROP,25,-188.07424414731582
RMSPROP,26,-188.07452719894746
RMSPROP,27,-188.07484741358877
RMSPROP,28,-188.0748528363378
RMSPROP,29,-188.0748528363378
RMSPROP,30,-188.0748528363378
RMSPROP,31,-188.0748528363378
RMSPROP,32,-188.0748528363378
RMSPROP,33,-188.0748528363378
RMSPROP,34,-188.0748528363378
RMSPROP,35,-188.0748528363378
RMSPROP,36,-188.0748528363378
RMSPROP,37,-188.0748528363378
RMSPROP,38,-188.0748528363378
RMSPROP,39,-188.0748528363378
ADAGRAD,0,-176.8819045163704
ADAGRAD,1,-177.9496477867542
ADAGRAD,2,-178.82829314570733
ADAGRAD,3,-179.62075291123261
ADAGRAD,4,-180.3396197496836
ADAGRAD,5,-180.9910249720955
ADAGRAD,6,-181.58009990190953
ADAGRAD,7,-182.1115421569162
ADAGRAD,8,-182.5897524857404
ADAGRAD,9,-183.01889444342527
ADAGRAD,10,-183.40292141072138
ADAGRAD,11,-183.74560628038614
ADAGRAD,12,-184.05054262250303
ADAGRAD,13,-184.3211584006728
ADAGRAD,14,-184.56071199866295
ADAGRAD,15,-184.77228354006587
ADAGRAD,16,-184.95876598729257
ADAGRAD,17,-185.12285785122634
ADAGRAD,18,-185.26705382431453
ADAGRAD,19,-185.3936405148565
ADAGRAD,20,-185.5047037696155
ADAGRAD,21,-185.60212487541207
ADAGRAD,22,-185.68759326634552
ADAGRAD,23,-185.76261581747343
ADAGRAD,24,-185.82852623128463
ADAGRAD,25,-185.88650163778436
ADAGRAD,26,-185.9375773665954
ADAGRAD,27,-185.98265613967777
ADAGRAD,28,-186.02252619755814
ADAGRAD,29,-186.0578737240989
ADAGRAD,30,-186.08929277333152
ADAGRAD,31,-186.11729760321197
ADAGRAD,32,-186.14233407178904
ADAGRAD,33,-186.16478546483614
ADAGRAD,34,-186.18498447582056
ADAGRAD,35,-186.20321654517784
ADAGRAD,36,-186.21972916731744
ADAGRAD,37,-186.23473498213963
ADAGRAD,38,-186.24841808444944
ADAGRAD,39,-186.26093729357086
ADAGRAD,40,-186.27243001984277
ADAGRAD,41,-186.2830144700432
ADAGRAD,42,-186.2927936014171
ADAGRAD,43,-186.30185732365777
ADAGRAD,44,-186.3102823975791
ADAGRAD,45,-186.31813639261884
ADAGRAD,46,-186.3254781711862
ADAGRAD,47,-186.33235896679844
ADAGRAD,48,-186.3388236740979
ADAGRAD,49,-186.34491165032762
ADAGRAD,50,-186.35065755937978
ADAGRAD,51,-186.35609184177605
ADAGRAD,52,-186.36124142101028
ADAGRAD,53,-186.3661301416857
ADAGRAD,54,-186.37077917935204
ADAGRAD,55,-186.37520737758683
ADAGRAD,56,-186.37943156069815
ADAGRAD,57,-186.38346680401025
ADAGRAD,58,-186.38732658779458
ADAGRAD,59,-186.39102313728614
ADAGRAD,60,-186.3945674001058
ADAGRAD,61,-186.39796931640774
ADAGRAD,62,-186.40123788626255
ADAGRAD,63,-186.4043813177678
ADAGRAD,64,-186.40740715115237
ADAGRAD,65,-186.41032219209023
ADAGRAD,66,-186.4131328415075
ADAGRAD,67,-186.41584480894625
ADAGRAD,68,-186.4184632821959
ADAGRAD,69,-186.42099342617558
ADAGRAD,70,-186.42343969542594
ADAGRAD,71,-186.42580619901645
ADAGRAD,72,-186.42809713411378
ADAGRAD,73,-186.43031600827555
ADAGRAD,74,-186.4324662021919
ADAGRAD,75,-186.43455097329775
ADAGRAD,76,-186.43657324588594
ADAGRAD,77,-186.43853579771945
ADAGRAD,78,-186.44044145590186
ADAGRAD,79,-186.44229240915615
ADAGRAD,80,-186.4440913827117
ADAGRAD,81,-186.44584009571986
ADAGRAD,82,-186.44754105655733
ADAGRAD,83,-186.44919600752985
ADAGRAD,84,-186.45080672141074
ADAGRAD,85,-186.45237519515717
ADAGRAD,86,-186.45390291555935
ADAGRAD,87,-186.45539153211394
ADAGRAD,88,-186.4568425067264
ADAGRAD,89,-186.45825729315362
ADAGRAD,90,-186.4596372507761
ADAGRAD,91,-186.4609836411646
ADAGRAD,92,-186.46229771899738
ADAGRAD,93,-186.46358062137455
ADAGRAD,94,-186.46483343482225
ADAGRAD,95,-186.46605735914443
ADAGRAD,96,-186.46725326788487
ADAGRAD,97,-186.46842216396618
ADAGRAD,98,-186.46956496565997
ADAGRAD,99,-186.4706827670093
ADAGRAD,100,-186.47177616911011
ADAGRAD,101,-186.4728460922962
ADAGRAD,102,-186.47389329480956
ADAGRAD,103,-186.47491849248337
ADAGRAD,104,-186.4759224713111
ADAGRAD,105,-186.47690581049045
ADAGRAD,106,-186.4778693130852
ADAGRAD,107,-186.47881351000478
ADAGRAD,108,-186.479738921886
ADAGRAD,109,-186.48064644285563
ADAGRAD,110,-186.481536363948
ADAGRAD,111,-186.48240932591648
ADAGRAD,112,-186.48326576465428
ADAGRAD,113,-186.48410630559675
ADAGRAD,114,-186.4849312016192
ADAGRAD,115,-186.485741291304
ADAGRAD,116,-186.48653664799775
ADAGRAD,117,-186.4873180893265
ADAGRAD,118,-186.48808561633655
ADAGRAD,119,-186.488839957207
ADAGRAD,120,-186.48958128801223
ADAGRAD,121,-186.49031006793587
ADAGRAD,122,-186.4910268496833
ADAGRAD,123,-186.49173172683493
ADAGRAD,124,-186.49242504996522
ADAGRAD,125,-186.49310721775362
ADAGRAD,126,-186.49377870499114
ADAGRAD,127,-186.4944395694386
ADAGRAD,128,-186.49509023666207
ADAGRAD,129,-186.4957309751951
ADAGRAD,130,-186.49636182983807
ADAGRAD,131,-186.49698360071858
ADAGRAD,132,-186.49759617571766
ADAGRAD,133,-186.49819990924811
ADAGRAD,134,-186.49879505065553
ADAGRAD,135,-186.49938185286908
ADAGRAD,136,-186.49996055671056
ADAGRAD,137,-186.50053140072873
ADAGRAD,138,-186.5010946168179
ADAGRAD,139,-186.5016504330378
ADAGRAD,140,-186.50219907274027
ADAGRAD,141,-186.50274075647508
ADAGRAD,142,-186.50327570067947
ADAGRAD,143,-186.503804116965
ADAGRAD,144,-186.50432621745068
ADAGRAD,145,-186.50484220485208
ADAGRAD,146,-186.50535214525001
ADAGRAD,147,-186.5058565953811
ADAGRAD,148,-186.5063554352331
ADAGRAD,149,-186.50684904727757
ADAGRAD,150,-186.50733745811687
ADAGRAD,151,-186.50782106983303
ADAGRAD,152,-186.5082999423244
ADAGRAD,153,-186.50877440545656
ADAGRAD,154,-186.50924451055772
ADAGRAD,155,-186.50971065431457
ADAGRAD,156,-186.51017282848483
ADAGRAD,157,-186.51063149892326
ADAGRAD,158,-186.5110866014375
ADAGRAD,159,-186.51153870286947
ADAGRAD,160,-186.51198777533733
ADAGRAD,161,-186.5124342562122
ADAGRAD,162,-186.51287815244444
ADAGRAD,163,-186.5133199334781
ADAGRAD,164,-186.51375992244738
ADAGRAD,165,-186.51419824428757
ADAGRAD,166,-186.5146352925285
ADAGRAD,167,-186.51507133260236
ADAGRAD,168,-186.51550678244024
ADAGRAD,169,-186.51594201626295
ADAGRAD,170,-186.51637743237228
ADAGRAD,171,-186.5168134709524
ADAGRAD,172,-186.5172506220851
ADAGRAD,173,-186.51768940863815
ADAGRAD,174,-186.51813041541578
ADAGRAD,175,-186.51857429828277
ADAGRAD,176,-186.51902174642572
ADAGRAD,177,-186.51947358030242
ADAGRAD,178,-186.51993065703738
ADAGRAD,179,-186.52039425879332
ADAGRAD,180,-186.52086495974237
ADAGRAD,181,-186.52134472935836
ADAGRAD,182,-186.52183476587993
ADAGRAD,183,-186.52233685027073
ADAGRAD,184,-186.5228532472815
ADAGRAD,185,-186.5233865423673
ADAGRAD,186,-186.52393939875907
ADAGRAD,187,-186.52451571932397
ADAGRAD,188,-186.5251197791173
ADAGRAD,189,-186.52575703493454
ADAGRAD,190,-186.5264343266585
ADAGRAD,191,-186.52716026554674
ADAGRAD,192,-186.5279460918245
ADAGRAD,193,-186.52880638972022
ADAGRAD,194,-186.5297611262181
ADAGRAD,195,-186.5308377658668
ADAGRAD,196,-186.53207440326105
ADAGRAD,197,-186.53352945237663
ADAGRAD,198,-186.53528612179122
ADAGRAD,199,-186.5374853852589
ADAM,0,-179.54938151653573
ADAM,1,-182.69225366798662
ADAM,2,-184.57726726489557
ADAM,3,-185.78864835288857
ADAM,4,-186.56293865697916
ADAM,5,-187.07255094586026
ADAM,6,-187.49747933458957
ADAM,7,-187.72096698036955
ADAM,8,-187.8681948497878
ADAM,9,-187.95715034087027
ADAM,10,-188.00911863379275
ADAM,11,-188.04161042342946
ADAM,12,-188.0613657892361
ADAM,13,-188.07267645901618
ADAM,14,-188.07773542988832
ADAM,15,-188.07968571812597
ADAM,16,-188.08083738697474
ADAM,17,-188.08156135980113
ADAM,18,-188.08202336092893
ADAM,19,-188.08232298803227
ADAM,20,-188.08253419415814
ADAM,21,-188.08269614553234
ADAM,22,-188.08282631820998
ADAM,23,-188.08292970675603
ADAM,24,-188.08301037679365
ADAM,25,-188.08307253149388
ADAM,26,-188.08311913995408
ADAM,27,-188.08315578691946
ADAM,28,-188.0831865416112
ADAM,29,-188.08321368029226
ADAM,30,-188.0832378287481
ADAM,31,-188.08326080151522
ADAM,32,-188.08328258033657
ADAM,33,-188.0833040664142
ADAM,34,-188.08332372222395
ADAM,35,-188.0833424627413
ADAM,36,-188.08335968941668
ADAM,37,-188.08337543765708
ADAM,38,-188.08338895248022
ADAM,39,-188.0834006951887
ADAM,40,-188.0834108996906
ADAM,41,-188.08341909025194
ADAM,42,-188.0834255439707
ADAM,43,-188.08343067937773
ADAM,44,-188.08343477606894
ADAM,45,-188.08343822028917
ADAM,46,-188.0834406953012
ADAM,47,-188.08344259334558
ADAM,48,-188.08344427220726
ADAM,49,-188.08344563153452
ADAM,50,-188.0834467923999
ADAM,51,-188.083447894232
ADAM,52,-188.08344886810374
ADAM,53,-188.08344966054335
ADAM,54,-188.0834503960453
ADAM,55,-188.08345111645264
ADAM,56,-188.0834517603431
ADAM,57,-188.08345241036363
ADAM,58,-188.08345299108066
ADAM,59,-188.08345349987593
ADAM,60,-188.08345400709715
ADAM,61,-188.08345452291155
ADAM,62,-188.08345497055802
ADAM,63,-188.08345539402194
ADAM,64,-188.08345576691568
ADAM,65,-188.08345616403773
ADAM,66,-188.083456523716
ADAM,67,-188.08345692276538
ADAM,68,-188.08345721846337
ADAM,69,-188.0834575420874
ADAM,70,-188.08345781884668
ADAM,71,-188.08345811539442
ADAM,72,-188.08345838527708
ADAM,73,-188.08345864188362
ADAM,74,-188.0834588979567
ADAM,75,-188.08345915724414
ADAM,76,-188.08345938456256
ADAM,77,-188.08345957008498
ADAM,78,-188.0834597848651
ADAM,79,-188.08346000372654
ADAM,80,-188.08346013944697
ADAM,81,-188.08346041742254
ADAM,82,-188.08346057041268
ADAM,83,-188.08346077986022
ADAM,84,-188.08346089450328
ADAM,85,-188.08346107988018
ADAM,86,-188.08346117740473
ADAM,87,-188.08346137931755
ADAM,88,-188.08346148695102
ADAM,89,-188.08346158896757
ADAM,90,-188.08346170919498
ADAM,91,-188.08346208368016
ADAM,92,-188.0834621758608
ADAM,93,-188.08346232702786
ADAM,94,-188.0834624233516
ADAM,95,-188.08346250952508
ADAM,96,-188.08346259992584
ADAM,97,-188.08346273388662
ADAM,98,-188.083462835584
ADAM,99,-188.08346292426563
ADAM,100,-188.08346297725762
ADAM,101,-188.08346311024036
ADAM,102,-188.08346316191762
ADAM,103,-188.08346324283843
ADAM,104,-188.08346330397558
ADAM,105,-188.0834634214384
ADAM,106,-188.08346345806143
ADAM,107,-188.0834635768345
ADAM,108,-188.083463608589
ADAM,109,-188.08346367104093
ADAM,110,-188.08346371855862
ADAM,111,-188.08346380842409
ADAM,112,-188.0834638265447
ADAM,113,-188.08346387955208
ADAM,114,-188.08346393716306
ADAM,115,-188.08346397218264
ADAM,116,-188.08346401475086
ADAM,117,-188.08346405129168
ADAM,118,-188.08346408986347
ADAM,119,-188.08346415517445
ADAM,120,-188.08346418091787
ADAM,121,-188.08346423609163
ADAM,122,-188.08346424709526
ADAM,123,-188.08346432069573
ADAM,124,-188.08346432069573
ADAM,125,-188.08346432069573
ADAM,126,-188.08346432069573
ADAM,127,-188.08346432069573
ADAM,128,-188.08346432069573
ADAM,129,-188.08346432069573
ADAM,130,-188.08346432069573
ADAM,131,-188.08346432069573
ADAM,132,-188.08346432069573
ADAM,133,-188.08346432069573
ADAM,134,-188.08346432069573
